bloque;termino;n_muestras;ocurrencias
8;supply chain risk;6;113
8;fair trade;6;112
8;tax avoidance;6;111
8;sedex;6;108
8;social norm;6;99
8;political contribution;6;94
8;supply chain worker;6;90
8;issb;6;87
8;chemical management;6;84
8;customer privacy;6;82
8;microfiber;6;79
8;particulate matter;6;79
8;iso\s*37001\b;6;77
8;cop28;6;76
8;b corp;6;68
8;compliance and ethics;6;68
8;iso 37001;6;68
8;better cotton;6;68
8;employee wellbeing;6;66
8;leather working group;6;65
8;fairtrade;6;60
8;supply chain audit;6;59
8;supply chain emission;6;57
8;compost;6;42
8;community relations;6;40
8;raw material sourcing;6;39
8;raw material consumption;6;34
8;supply chain transparency;6;34
8;peatland;6;33
8;cover crop;6;32
8;proxy statement;6;25
8;board oversight;6;18
8;virgin polyester;6;17
8;supply chain human right;6;13
8;supply chain footprint;6;10
8;cop 28;6;10
8;fair condition;6;9
8;scope\s+(?:one|two|three);3;3
8;supply chain ethics;3;3
8;living income;2;2
8;supply chain decarbonisation;1;1
8;supply chain labour;1;1
